time in s,power in W
0,56.0
900,56.0
1800,56.0
2700,56.0
3600,56.0
4500,56.0
5400,56.0
6300,268.07231123813574
7200,56.0
8100,56.0
9000,56.0
9900,56.0
10800,56.0
11700,56.0
12600,56.0
13500,56.0
14400,56.0
15300,268.07231123813574
16200,268.07231123813574
17100,56.0
18000,56.0
18900,56.0
19800,56.0
20700,56.0
21600,56.0
22500,170.23508678356495
23400,56.0
24300,56.0
25200,268.07231123813574
26100,268.07231123813574
27000,56.0
27900,56.0
28800,56.0
29700,56.0
30600,56.0
31500,56.0
32400,170.23508678356495
33300,194.23508678356495
34200,215.0
35100,265.0
36000,202.0
36900,319.0
37800,2344.235086783565
38700,386.23508678356495
39600,128.0
40500,128.0
41400,128.0
42300,305.0
43200,340.07231123813574
44100,128.0
45000,623.0
45900,56.0
46800,268.07231123813574
47700,268.07231123813574
48600,56.0
49500,176.0
50400,238.0
51300,250.0
52200,326.23508678356495
53100,197.0
54000,56.0
54900,56.0
55800,56.0
56700,56.0
57600,56.0
58500,56.0
59400,56.0
60300,56.0
61200,56.0
62100,56.0
63000,56.0
63900,56.0
64800,56.0
65700,56.0
66600,56.0
67500,56.0
68400,268.07231123813574
69300,268.07231123813574
70200,1297.2778775326722
71100,1407.2778775326722
72000,151.6439444074928
72900,313.7162556456285
73800,149.0
74700,172.0
75600,172.0
76500,2045.1949107298224
77400,232.0
78300,172.0
79200,421.07231123813574
80100,209.0
81000,2927.652353780807
81900,137.0
82800,56.0
83700,56.0
84600,56.0
85500,170.23508678356495
86400,56.0
87300,56.0
88200,56.0
89100,56.0
90000,56.0
90900,56.0
91800,56.0
92700,56.0
93600,56.0
94500,56.0
95400,56.0
96300,56.0
97200,56.0
98100,56.0
99000,231.68393751751861
99900,231.68393751751861
100800,56.0
101700,56.0
102600,56.0
103500,56.0
104400,148.95026811158465
105300,56.0
106200,56.0
107100,56.0
108000,56.0
108900,231.68393751751861
109800,231.68393751751861
110700,56.0
111600,176.0
112500,308.95026811158465
113400,216.0
114300,463.68393751751864
115200,463.68393751751864
116100,216.0
117000,156.0
117900,280.95026811158465
118800,3584.2437546706205
119700,3512.2437546706205
120600,366.32158425721025
121500,438.4181140528219
122400,442.1020515703405
123300,206.4181140528219
124200,278.4181140528219
125100,471.27185236879484
126000,474.63935898348404
126900,543.639358983484
127800,696.5896270950686
128700,3939.8333817656894
129600,3762.565338927831
130500,426.32158425721025
131400,526.3215842572102
132300,682.0055217747288
133200,742.0055217747288
134100,506.32158425721025
135000,346.32158425721025
135900,346.32158425721025
136800,346.32158425721025
137700,286.32158425721025
138600,3480.2437546706205
139500,146.0
140400,96.0
141300,288.95026811158465
142200,208.0
143100,196.0
144000,216.0
144900,216.0
145800,116.0
146700,363.68393751751864
147600,363.68393751751864
148500,2845.337073230713
149400,3199.877092423921
150300,2845.337073230713
151200,2845.337073230713
152100,3572.2437546706205
153000,288.0
153900,483.68393751751864
154800,417.0
155700,2754.337073230713
156600,2693.337073230713
157500,2622.337073230713
158400,2732.337073230713
159300,116.0
160200,285.0
161100,463.7804673131303
162000,240.09652979561167
162900,332.0965297956117
163800,2283.096529795612
164700,3684.2437546706205
165600,312.0
166500,3636.2437546706205
167400,300.0
168300,128.0
169200,128.0
170100,128.0
171000,231.68393751751861
171900,148.95026811158465
172800,56.0
173700,56.0
174600,56.0
175500,56.0
176400,68.0
177300,249.77239283112786
178200,346.7876790026594
179100,56.0
180000,56.0
180900,56.0
181800,56.0
182700,56.0
183600,56.0
184500,56.0
185400,56.0
186300,56.0
187200,56.0
188100,56.0
189000,56.0
189900,56.0
190800,56.0
191700,153.01528617153156
192600,249.77239283112786
193500,249.77239283112786
194400,56.0
195300,56.0
196200,56.0
197100,153.01528617153156
198000,4251.430792430837
198900,3369.7991739858803
199800,398.77239283112783
200700,217.0
201600,236.0
202500,320.0
203400,2363.0
204300,380.0
205200,3518.8144601574118
206100,3518.8144601574118
207000,200.0
207900,365.0
208800,160.0
209700,160.0
210600,715.0
211500,68.0
212400,3495.5715668170083
213300,249.77239283112786
214200,3386.8144601574118
215100,56.0
216000,3301.7991739858803
216900,2366.772392831128
217800,2328.772392831128
218700,152.0
219600,152.0
220500,212.0
221400,405.77239283112783
222300,220.0
223200,317.01528617153156
224100,377.01528617153156
225000,220.0
225900,160.0
226800,3599.1981851352025
227700,91.62661831819426
228600,79.62661831819426
229500,179.62661831819426
230400,337.01528617153156
231300,312.0
232200,300.0
233100,372.0
234000,2340.0152861715314
234900,209.0
235800,2916.8802529264244
236700,2976.8802529264244
237600,6289.333827633322
238500,6477.960445951516
239400,242.28101903921137
240300,3789.85258585622
241200,3659.1981851352025
242100,160.0
243000,2226.6266183181942
243900,2154.6266183181942
244800,425.3990111493221
245700,365.3990111493221
246600,220.0
247500,252.0
248400,228.0
249300,240.0
250200,3221.8802529264244
251100,2912.8802529264244
252000,2820.8802529264244
252900,2917.895539097956
253800,249.77239283112786
254700,56.0
255600,56.0
256500,56.0
257400,56.0
258300,153.01528617153156
259200,56.0
260100,56.0
261000,56.0
261900,56.0
262800,56.0
263700,56.0
264600,56.0
265500,56.0
266400,56.0
267300,56.0
268200,56.0
269100,56.0
270000,56.0
270900,56.0
271800,56.0
272700,239.89396323785363
273600,239.89396323785363
274500,56.0
275400,56.0
276300,56.0
277200,56.0
278100,56.0
279000,164.16825772485583
279900,56.0
280800,56.0
281700,116.0
282600,56.0
283500,116.0
284400,128.0
285300,239.89396323785363
286200,289.89396323785365
287100,106.0
288000,56.0
288900,56.0
289800,164.16825772485583
290700,164.16825772485583
291600,56.0
292500,56.0
293400,56.0
294300,56.0
295200,56.0
296100,56.0
297000,348.06222096270943
297900,56.0
298800,56.0
299700,56.0
300600,56.0
301500,56.0
302400,56.0
303300,56.0
304200,56.0
305100,116.0
306000,164.16825772485583
306900,56.0
307800,3052.806978179653
308700,2868.9130149417992
309600,3104.081272666655
310500,3028.9130149417992
311400,263.0
312300,288.0
313200,382.21647544275527
314100,456.1104386806089
315000,3085.1294903845546
315900,3180.1294903845546
316800,3120.1294903845546
317700,3252.1294903845546
318600,577.2164754427553
319500,577.2164754427553
320400,517.2164754427553
321300,422.21647544275527
322200,774.2786964054646
323100,586.1104386806089
324000,266.0
324900,3186.9130149417992
325800,3100.698382219386
326700,3100.698382219386
327600,3467.928292477934
328500,359.78536727758694
329400,239.89396323785363
330300,348.06222096270943
331200,56.0
332100,56.0
333000,56.0
333900,56.0
334800,164.16825772485583
335700,56.0
336600,56.0
337500,56.0
338400,56.0
339300,164.16825772485583
340200,56.0
341100,56.0
342000,56.0
342900,56.0
343800,56.0
344700,251.89396323785363
345600,56.0
346500,56.0
347400,56.0
348300,56.0
349200,56.0
350100,56.0
351000,56.0
351900,56.0
352800,56.0
353700,56.0
354600,56.0
355500,226.2138278327912
356400,56.0
357300,56.0
358200,56.0
359100,56.0
360000,56.0
360900,56.0
361800,56.0
362700,56.0
363600,56.0
364500,56.0
365400,56.0
366300,56.0
367200,56.0
368100,56.0
369000,226.2138278327912
369900,226.2138278327912
370800,56.0
371700,56.0
372600,56.0
373500,56.0
374400,80.0
375300,226.2138278327912
376200,56.0
377100,163.1634686999194
378000,56.0
378900,56.0
379800,56.0
380700,56.0
381600,56.0
382500,56.0
383400,226.2138278327912
384300,226.2138278327912
385200,96.0
386100,128.0
387000,168.0
387900,252.0
388800,2111.0
389700,128.0
390600,128.0
391500,128.0
392400,367.2138278327912
393300,499.2138278327912
394200,329.0
395100,269.0
396000,197.0
396900,3496.262256219679
397800,3732.6515121504967
398700,3792.6515121504967
399600,493.38925593081797
400500,625.389255930818
401400,2608.389255930818
402300,630.8507777263477
403200,510.8507777263477
404100,510.8507777263477
405000,410.8507777263477
405900,3069.6656047075294
406800,3235.6656047075294
407700,6264.466339131679
408600,3572.2040829119996
409500,674.7665524635286
410400,504.5527246307374
411300,1929.9953579461644
412200,4549.810184927346
413100,3237.2040829119996
414000,8371.466339131679
414900,3041.2040829119996
415800,3753.878307560627
416700,3646.7148388607075
417600,668.4512627824491
418500,223.4525826410285
419400,241.0
420300,252.0
421200,182.4525826410285
422100,274.45258264102847
423000,2282.9024451185123
423900,2112.688617285721
424800,109.0
425700,125.0
426600,56.0
427500,56.0
428400,163.1634686999194
429300,56.0
430200,56.0
431100,56.0
432000,56.0
432900,56.0
433800,56.0
434700,1238.622371104068
435600,1178.622371104068
436500,56.0
437400,56.0
438300,56.0
439200,56.0
440100,56.0
441000,266.6245777903823
441900,266.6245777903823
442800,56.0
443700,56.0
444600,56.0
445500,160.77521254260898
446400,56.0
447300,266.6245777903823
448200,56.0
449100,56.0
450000,56.0
450900,56.0
451800,56.0
452700,56.0
453600,56.0
454500,56.0
455400,56.0
456300,56.0
457200,56.0
458100,56.0
459000,56.0
459900,266.6245777903823
460800,266.6245777903823
461700,56.0
462600,56.0
463500,56.0
464400,76.0
465300,56.0
466200,220.0
467100,100.0
468000,200.0
468900,160.0
469800,195.0
470700,208.0
471600,308.0
472500,2598.998077039484
473400,2723.773289582093
474300,2538.998077039484
475200,2570.998077039484
476100,232.0
477000,220.0
477900,406.6245777903823
478800,56.0
479700,56.0
480600,56.0
481500,56.0
482400,56.0
483300,56.0
484200,56.0
485100,56.0
486000,160.77521254260898
486900,56.0
487800,56.0
488700,56.0
489600,180.77521254260898
490500,240.77521254260898
491400,96.0
492300,160.0
493200,4500.326147768899
494100,2457.3261477688993
495000,2582.1013603115084
495900,2537.3261477688993
496800,128.0
497700,305.0
498600,380.0
499500,180.0
500400,203.0
501300,2661.8593018057954
502200,168.0
503100,288.0
504000,510.6245777903823
504900,2573.6245777903823
505800,220.0
506700,2489.3261477688993
507600,2469.3261477688993
508500,5414.872189442381
509400,4939.185449574695
510300,220.0
511200,2918.6345143484045
512100,4987.185449574695
513000,2577.3261477688993
513900,4882.950725559282
514800,4779.950725559282
515700,261.0
516600,128.0
517500,128.0
518400,56.0
519300,56.0
520200,56.0
521100,167.89104917450874
