time in s,power in W
0,57.0
900,57.0
1800,57.0
2700,57.0
3600,57.0
4500,149.19480020311715
5400,57.0
6300,57.0
7200,57.0
8100,341.6657365838172
9000,149.19480020311715
9900,57.0
10800,57.0
11700,57.0
12600,57.0
13500,57.0
14400,57.0
15300,57.0
16200,57.0
17100,57.0
18000,216.82843659054228
18900,57.0
19800,57.0
20700,57.0
21600,57.0
22500,57.0
23400,57.0
24300,57.0
25200,2265.548846678178
26100,104.0
27000,284.4709363807001
27900,333.4709363807001
28800,116.0
29700,3069.187628041663
30600,128.0
31500,245.19480020311715
32400,141.0
33300,9786.841077049758
34200,141.0
35100,189.0
36000,198.0
36900,198.0
37800,162.5097846766779
38700,270.5097846766779
39600,402.98072105737793
40500,378.33822126722015
41400,206.0
42300,161.0
43200,138.0
44100,158.0
45000,158.0
45900,133.0
46800,157.0
47700,313.4709363807001
48600,98.0
49500,269.8284365905423
50400,269.8284365905423
51300,341.4709363807001
52200,422.4709363807001
53100,5201.187628041664
54000,337.0
54900,3105.187628041663
55800,3102.187628041663
56700,189.0
57600,213.0
58500,398.0
59400,281.0
60300,955.8284365905423
61200,561.2993729712423
62100,441.4709363807001
63000,278.0
63900,305.0
64800,296.0
65700,464.8284365905423
66600,3418.0160646322056
67500,2304.0
68400,330.0
69300,3211.187628041663
70200,270.0
71100,303.0176558857325
72000,303.0176558857325
72900,442.82285568261534
73800,188.82285568261534
74700,703.8228556826153
75600,313.4709363807001
76500,124.0
77400,172.0
78300,169.19480020311715
79200,149.19480020311715
80100,249.47093638070007
81000,57.0
81900,1938.5892128382454
82800,129.0
83700,89.0
84600,57.0
85500,57.0
86400,57.0
87300,57.0
88200,57.0
89100,57.0
90000,153.85284083816964
90900,57.0
91800,57.0
92700,248.93761647612257
93600,57.0
94500,57.0
95400,57.0
96300,57.0
97200,209.397887509231
98100,153.85284083816964
99000,57.0
99900,248.93761647612257
100800,248.93761647612257
101700,57.0
102600,57.0
103500,57.0
104400,248.93761647612257
105300,57.0
106200,57.0
107100,57.0
108000,248.93761647612257
108900,248.93761647612257
109800,209.397887509231
110700,57.0
111600,57.0
112500,129.0
113400,400.397887509231
114300,256.0
115200,176.0
116100,126.0
117000,57.0
117900,57.0
118800,57.0
119700,57.0
120600,57.0
121500,57.0
122400,57.0
123300,153.85284083816964
124200,57.0
125100,57.0
126000,248.93761647612257
126900,209.397887509231
127800,209.397887509231
128700,57.0
129600,57.0
130500,57.0
131400,57.0
132300,57.0
133200,57.0
134100,57.0
135000,57.0
135900,57.0
136800,248.93761647612257
137700,248.93761647612257
138600,57.0
139500,57.0
140400,153.85284083816964
141300,345.7904573142922
142200,2278.3312730400767
143100,167.0
144000,107.0
144900,120.14624951389052
145800,3676.697243419385
146700,120.14624951389052
147600,120.14624951389052
148500,116.0
149400,176.0
150300,188.0
151200,283.397887509231
152100,176.0
153000,176.0
153900,236.0
154800,107.0
155700,3763.254889458845
156600,6030.652776968076
157500,2270.7038955533503
158400,2811.0179956621746
159300,2748.3141001088243
160200,3020.2517165849467
161100,2846.3141001088243
162000,188.0
162900,188.0
163800,246.85284083816964
164700,3734.5509939054946
165600,3662.5509939054946
166500,106.0
167400,269.93761647612257
168300,89.0
169200,89.0
170100,149.0
171000,57.0
171900,57.0
172800,57.0
173700,57.0
174600,210.95008316243437
175500,210.95008316243437
176400,57.0
177300,168.86888633821417
178200,57.0
179100,57.0
180000,247.82628951437883
180900,210.95008316243437
181800,57.0
182700,57.0
183600,57.0
184500,57.0
185400,57.0
186300,57.0
187200,247.82628951437883
188100,210.95008316243437
189000,57.0
189900,57.0
190800,57.0
191700,57.0
192600,57.0
193500,57.0
194400,57.0
195300,247.82628951437883
196200,359.695175852593
197100,57.0
198000,57.0
198900,57.0
199800,117.0
200700,3008.7707949228384
201600,3008.7707949228384
202500,2963.6043988318693
203400,2888.7707949228384
204300,57.0
205200,57.0
206100,57.0
207000,57.0
207900,57.0
208800,57.0
209700,57.0
210600,57.0
211500,57.0
212400,57.0
213300,57.0
214200,57.0
215100,57.0
216000,57.0
216900,57.0
217800,57.0
218700,168.86888633821417
219600,247.82628951437883
220500,247.82628951437883
221400,57.0
222300,57.0
223200,71.83360390903076
224100,71.83360390903076
225000,424.52877976162375
225900,287.8262895143788
226800,217.0
227700,289.0
228600,189.0
229500,129.0
230400,282.95008316243434
231300,282.95008316243434
232200,228.86888633821417
233100,248.86888633821417
234000,2974.5325656835753
234900,77.0
235800,447.8262895143788
236700,459.8262895143788
237600,257.0
238500,249.0
239400,342.95008316243434
240300,342.95008316243434
241200,387.8262895143788
242100,2512.826289514379
243000,5133.770794922839
243900,3130.7707949228384
244800,3242.6396812610524
245700,3040.7707949228384
246600,419.8262895143788
247500,374.8262895143788
248400,2980.7707949228384
249300,2972.7707949228384
250200,3000.6396812610524
251100,3042.720878085273
252000,210.95008316243437
252900,57.0
253800,57.0
254700,57.0
255600,57.0
256500,210.95008316243437
257400,57.0
258300,57.0
259200,57.0
260100,57.0
261000,57.0
261900,57.0
262800,57.0
263700,57.0
264600,57.0
265500,57.0
266400,57.0
267300,57.0
268200,57.0
269100,57.0
270000,57.0
270900,57.0
271800,57.0
272700,57.0
273600,57.0
274500,57.0
275400,57.0
276300,244.52941070561445
277200,368.97117789417075
278100,57.0
279000,57.0
279900,252.87899189576632
280800,252.87899189576632
281700,57.0
282600,57.0
283500,57.0
284400,440.40840260138077
285300,57.0
286200,57.0
287100,57.0
288000,181.4417671885563
288900,244.52941070561445
289800,244.52941070561445
290700,2112.0
291600,129.0
292500,129.0
293400,129.0
294300,129.0
295200,253.4417671885563
296100,129.0
297000,306.0
297900,624.0
