time in s,power in W
0,46.0
900,46.0
1800,46.0
2700,46.0
3600,46.0
4500,46.0
5400,46.0
6300,46.0
7200,46.0
8100,46.0
9000,46.0
9900,46.0
10800,46.0
11700,46.0
12600,46.0
13500,46.0
14400,46.0
15300,46.0
16200,46.0
17100,46.0
18000,46.0
18900,46.0
19800,46.0
20700,46.0
21600,116.0
22500,253.87285166193624
23400,2034.1196935630971
24300,2332.8728516619362
25200,387.87285166193624
26100,315.87285166193624
27000,375.87285166193624
27900,504.9364044339218
28800,541.621251474313
29700,541.621251474313
30600,118.0
31500,2545.0
32400,2545.0
33300,2545.0
34200,5915.177415494347
35100,1356.2458299582568
36000,323.87285166193624
36900,263.87285166193624
37800,263.87285166193624
38700,223.87285166193624
39600,355.87285166193624
40500,2350.8728516619362
41400,367.87285166193624
42300,2410.8728516619362
43200,2173.0
44100,190.0
45000,190.0
45900,190.0
46800,190.0
47700,118.0
48600,118.0
49500,118.0
50400,2545.0
51300,2545.0
52200,2545.0
53100,2545.0
54000,46.0
54900,46.0
55800,46.0
56700,46.0
57600,46.0
58500,46.0
59400,46.0
60300,46.0
61200,173.87285166193624
62100,2151.0
63000,2185.0
63900,2402.8728516619362
64800,431.87285166193624
65700,379.87285166193624
66600,349.87285166193624
67500,399.87285166193624
68400,636.8728516619362
69300,1143.8728516619362
70200,511.87285166193624
71100,2937.8728516619362
72000,2888.8728516619362
72900,2926.8728516619362
73800,2954.8728516619362
74700,2966.8728516619362
75600,584.8728516619362
76500,407.87285166193624
77400,419.87285166193624
78300,1091.9364044339218
79200,496.9364044339218
80100,496.9364044339218
81000,424.9364044339218
81900,116.0
82800,200.0
83700,138.0
84600,46.0
85500,46.0
86400,46.0
87300,46.0
88200,46.0
89100,46.0
90000,46.0
90900,46.0
91800,46.0
92700,46.0
93600,46.0
94500,46.0
95400,46.0
96300,46.0
97200,46.0
98100,46.0
99000,46.0
99900,46.0
100800,46.0
101700,46.0
102600,46.0
103500,46.0
104400,321.3843100421859
105300,3194.3516456085567
106200,1211.3516456085567
107100,261.3843100421859
108000,261.3843100421859
108900,2236.6887936075377
109800,118.0
110700,295.0
111600,261.3843100421859
112500,939.2517361694725
113400,422.2517361694724
114300,482.2517361694724
115200,422.2517361694724
116100,422.2517361694724
117000,46.0
117900,46.0
118800,402.2988481997914
119700,2101.0
120600,2101.0
121500,118.0
122400,118.0
123300,118.0
124200,118.0
125100,546.2988481997913
126000,363.9430484482096
126900,273.3843100421859
127800,2700.384310042186
128700,2760.384310042186
129600,2748.384310042186
130500,2820.384310042186
131400,2304.384310042186
132300,213.0
133200,178.0
134100,198.0
135000,341.3843100421859
135900,531.3843100421859
136800,670.3843100421859
137700,493.3843100421859
138600,3162.925881279647
139500,430.3843100421859
140400,373.3843100421859
141300,2428.384310042186
142200,505.3843100421859
143100,2488.384310042186
144000,627.7401097937677
144900,505.3843100421859
145800,505.3843100421859
146700,682.3843100421859
147600,505.3843100421859
148500,1000.3843100421859
149400,1223.3516456085567
150300,3662.3516456085567
151200,2807.384310042186
152100,2772.384310042186
153000,2577.0
153900,150.0
154800,2133.0
155700,6566.230364844999
156600,2368.384310042186
157500,1560.6972188331101
158400,3803.238790070571
159300,582.3843100421859
160200,345.3843100421859
161100,333.3843100421859
162000,918.9430484482095
162900,2859.9430484482095
163800,2787.9430484482095
164700,2787.9430484482095
165600,2748.384310042186
166500,301.3843100421859
