time in s,power in W
0,54.0
900,54.0
1800,54.0
2700,169.82652621298826
3600,374.7332051303757
4500,54.0
5400,54.0
6300,539.4944320363556
7200,228.888038788124
8100,258.90667891738747
9000,54.0
9900,54.0
10800,248.77986703524337
11700,54.0
12600,433.7947177055115
13500,228.888038788124
14400,54.0
15300,54.0
16200,54.0
17100,54.0
18000,54.0
18900,54.0
19800,344.71456500111225
20700,54.0
21600,2357.9066789173876
22500,2345.9066789173876
23400,712.0687674449839
24300,525.1807286568599
25200,12919.994558579645
26100,3154.6663145592847
27000,3038.8397883462967
27900,3538.5263342989274
28800,601.0072548698481
29700,433.18072865685986
30600,54.0
31500,54.0
32400,526.0874075742473
33300,641.9139337872356
34200,528.0687674449839
35100,401.8662919504388
36000,54.0
36900,258.90667891738747
37800,248.77986703524337
38700,54.0
39600,54.0
40500,344.71456500111225
41400,54.0
42300,453.68654595263087
43200,54.0
44100,228.888038788124
45000,182.9782531623148
45900,302.9782531623148
46800,506.27495920968306
47700,291.49509217443966
48600,770.5994970808144
49500,258.90667891738747
50400,54.0
51300,248.77986703524337
52200,54.0
53100,374.7332051303757
54000,228.888038788124
54900,54.0
55800,54.0
56700,54.0
57600,54.0
58500,248.77986703524337
59400,54.0
60300,344.71456500111225
61200,228.888038788124
62100,258.90667891738747
63000,248.77986703524337
63900,169.82652621298826
64800,54.0
65700,226.9782531623148
66600,2774.9638342573353
67500,2604.6297341591
68400,2787.5115007364275
69300,444.82495478379656
70200,584.7129935719206
71100,341.82495478379656
72000,482.80320794611134
72900,964.491325327934
73800,888.7729708678263
74700,645.9782531623148
75600,422.80477937530304
76500,402.80477937530304
77400,483.88493207970225
78300,513.8662919504388
79200,669.5846464105464
80100,2828.6373128517516
81000,3001.5439917691388
81900,2800.565738606824
82800,2770.5470984775607
83700,228.888038788124
84600,54.0
85500,169.82652621298826
86400,54.0
87300,254.65227520015927
88200,54.0
89100,231.96070452439193
90000,237.81307680435026
90900,237.81307680435026
91800,54.0
92700,231.96070452439193
93600,54.0
94500,54.0
95400,54.0
96300,254.65227520015927
97200,54.0
98100,146.01655764268799
99000,54.0
99900,351.96070452439193
100800,254.65227520015927
101700,54.0
102600,146.01655764268799
103500,54.0
104400,231.96070452439193
105300,254.65227520015927
106200,329.82963444703825
107100,66.0
108000,54.0
108900,231.96070452439193
109800,54.0
110700,146.01655764268799
111600,4492.719662807814
112500,4541.050083937948
113400,2558.0500839379483
114300,2518.0500839379483
115200,11400.922622788636
116100,684.8547870036673
117000,530.0548840834664
117900,529.8130768043502
118800,286.0
119700,318.016557642688
120600,2421.6522752001592
121500,2344.81307680435
122400,396.81307680435026
123300,226.0
124200,226.0
125100,415.96070452439193
126000,450.65227520015924
126900,250.0
127800,298.0
128700,467.9772621670799
129600,409.81307680435026
130500,66.0
131400,410.6688328428473
132300,204.72804621044082
133200,299.7280462104408
134100,299.7280462104408
135000,4686.778130148389
135900,4790.794687791077
136800,3154.3911098729404
137700,3077.5519114771314
138600,383.7280462104408
139500,2791.778130148389
140400,2828.778130148389
141300,2880.9931643469517
142200,3424.606144071503
143100,734.9203425760835
144000,668.7561572133538
144900,524.9430804090036
145800,512.9430804090036
146700,3306.622701714191
147600,4839.993164346952
148500,5006.806241151302
149400,4819.247475150256
150300,458.21503419856276
151200,2790.2651181365113
152100,2790.2651181365113
153000,2868.0107884623403
153900,3070.757243221574
154800,326.2583649218042
155700,126.0
156600,9275.048277573644
157500,2736.0107884623403
158400,2570.0500839379483
159300,2642.0500839379483
160200,4613.050083937948
161100,2926.5154359424578
162000,2720.0107884623403
162900,2470.0500839379483
163800,2470.0500839379483
164700,375.0
165600,473.82963444703825
166500,1305.2192642044777
167400,2428.0293398713566
168300,432.6129797245512
169200,54.0
170100,54.0
171000,54.0
171900,237.81307680435026
172800,54.0
173700,54.0
174600,54.0
175500,54.0
176400,54.0
177300,54.0
178200,227.37900773513823
179100,54.0
180000,378.0136253495658
180900,267.4527281752523
181800,440.83173591039053
182700,54.0
183600,54.0
184500,266.22204902936494
185400,165.79157632020087
186300,54.0
187200,267.4527281752523
188100,54.0
189000,54.0
189900,165.79157632020087
190800,266.22204902936494
191700,440.83173591039053
192600,74.0
193500,2592.9802190241976
194400,2592.9802190241976
195300,4826.856171901047
196200,4826.856171901047
197100,177.79157632020087
198000,278.22204902936494
198900,299.3790077351382
199800,769.801605699466
200700,707.801605699466
201600,578.1404538444147
202500,266.22204902936494
203400,54.0
204300,54.0
205200,227.37900773513823
206100,267.4527281752523
207000,54.0
207900,54.0
208800,54.0
209700,165.79157632020087
210600,54.0
211500,479.67477720461716
212400,711.1806134346042
213300,1928.4286156033133
214200,54.0
215100,1643.2580315479743
216000,3621.786998561691
216900,2037.711223493589
217800,1823.3099602923626
218700,54.0
219600,54.0
220500,267.4527281752523
221400,267.4527281752523
222300,378.0136253495658
223200,54.0
224100,227.37900773513823
225000,604.0104931496276
225900,2727.158976263435
226800,2838.9505525836357
227700,3023.3810252927997
228600,4782.158976263435
229500,540.6314854144894
230400,557.6314854144894
231300,356.1787572392371
232200,400.1787572392371
233100,755.400806268602
234000,1007.4529370389399
234900,678.4826034795019
235800,384.0298753042497
236700,324.0298753042497
237600,556.2519243336146
238500,165.79157632020087
239400,339.17058405533913
240300,227.37900773513823
